CHROM	MINBP	MAXBP	GENE
22	35648446	35668404	APOL6
22	35738736	36028824	RBFOX2
22	36140329	36166177	APOL3
22	36189124	36204840	APOL4
22	36226209	36239954	APOL2
22	36253071	36267530	APOL1
22	36281280	36388010	MYH9
22	36467046	36481640	TXN2
22	36487190	36507221	FOXRED2
22	36510855	36529184	EIF3D
22	36758202	36776256	IFT27
22	36800684	36819479	PVALB
22	36860988	36878017	NCF4
22	36913628	36940439	CSF2RB
22	37010859	37020183	TST
22	37019635	37029821	MPST
22	37051739	37063390	KCTD17
22	37065436	37109713	TMPRSS6
22	37118666	37175118	IL2RB
22	37180166	37199385	C1QTNF6
22	37204237	37212477	SSTR3
22	37225270	37259594	RAC2
22	37282027	37315341	CYTH4
22	37469063	37486393	MFNG
22	37490362	37519542	CARD10
22	37560480	37569405	CDC42EP1
22	37570248	37582616	LGALS2
22	37608725	37633564	GGA1
22	37634654	37656117	SH3BP1
22	37658723	37666932	PDXP
22	37675636	37679802	LGALS1
22	37681673	37693476	NOL12
22	37697048	37776556	TRIOBP
22	37807905	37817176	GCAT
22	37830855	37849327	ANKRD54
22	37848868	37889407	EIF3L
22	37905657	37942822	MICALL1
22	38056311	38075701	PICK1
22	38084652	38111015	BAIAP2L2
22	38111495	38214778	PLA2G6
22	38200767	38216507	MAFF
22	38219291	38273010	TMEM184B
22	38290691	38318084	CSNK1E
22	38468078	38483447	KDELR3
22	38483438	38507660	DDX17
22	38656636	38673854	CBY1
22	38681957	38685421	TOMM22
22	38685543	38701556	JOSD1
22	38705742	38738299	GTPBP1
22	38733290	38794143	SUN2
22	38778508	38794198	DNAL4
22	38818452	38844028	NPTXR
22	38861422	38872249	CBX6
22	38952741	38992778	APOBEC3A
22	38982347	38992804	APOBEC3B
22	39014257	39020352	APOBEC3C
22	39021113	39033277	APOBEC3D
22	39040604	39055972	APOBEC3F
22	39077067	39087743	APOBEC3G
22	39097224	39104067	APOBEC3H
22	39120167	39152680	CBX7
22	39223359	39244982	PDGFB
22	39312882	39320389	RPL3
22	39349925	39385575	SYNGR1
22	39399778	39437060	TAB1
22	39457012	39492194	MGAT3
22	39499432	39518132	MIEF1
22	39519695	39522683	ATF4
22	39529093	39532761	RPS19BP1
22	39570753	39689735	CACNA1I
22	39901084	39973721	GRAP2
22	39994954	40043534	FAM83F
22	40044817	40335808	TNRC6B
22	40346461	40390463	ADSL
22	40370591	40410289	SGSM3
22	40769630	40819399	SLC25A17
22	40824535	40856639	ST13
22	40857077	40932815	XPNPEP3
22	40951347	40973309	RBX1
22	41092592	41180077	EP300
22	41205282	41231271	L3MBTL2
22	41229510	41240931	CHADL
22	41244779	41286187	RANGAP1
22	41301525	41360147	ZC3H7B
22	41367333	41399326	TEF
22	41433494	41446801	TOB2
22	41447830	41529273	ACO2
22	41459717	41468692	PHF5A
22	41525799	41544606	POLR3H
22	41561010	41577741	CSDC2
22	41576900	41589871	PMM1
22	41598028	41621043	DESI1
22	41621163	41664048	XRCC6
22	41673933	41690504	SNU13
22	41699503	41799456	MEI1
22	41800679	41832164	CCDC134
22	41833079	41907307	SREBF2
22	41909543	41915074	SHISA8
22	41922032	41926806	TNFRSF13C
22	41938737	41947152	CENPM
22	41998725	42058456	WBP2NL
22	42058334	42070842	NAGA
22	42079691	42084284	SMDT1
22	42085526	42090884	NDUFA6
22	42126499	42130865	CYP2D6
22	42160013	42343616	TCF20
22	42380407	42432403	NFAM1
22	42508344	42519796	RRP7A
22	42553617	42574382	SERHL2
22	42583721	42614962	POLDIP3
22	42615730	42720870	CYB5R3
22	42692121	42721298	A4GALT
22	42796502	42858106	ARFGAP3
22	42835412	43015149	PACSIN2
22	43039516	43089419	TTLL1
22	43110750	43129712	BIK
22	43132209	43143398	MCAT
22	43151547	43163242	TSPO
22	43166622	43187134	TTLL12
22	43197280	43343372	SCUBE1
22	43955442	44010531	SAMM50
22	43999211	44172939	PARVB
22	44172956	44219533	PARVG
22	44668547	44737681	PRR5
22	44752558	44862788	ARHGAP8
22	45163925	45188017	NUP50
22	45192244	45240894	KIAA0930
22	45284949	45295874	UPK3A
22	45308968	45341955	FAM118A
22	45502238	45601135	FBLN1
22	45671798	45845307	ATXN10
22	46150521	46243755	PPARA
22	46244011	46250311	CDPF1
22	46267961	46294008	TTC38
22	46296870	46330810	GTSE1
22	46330875	46357340	TRMU
22	46360834	46537620	CELSR1
22	46576012	46679790	GRAMD4
22	46684410	46738252	CERK
22	46762617	47175699	TBC1D22A
22	49773283	49827873	BRD1
22	49853844	49890080	ZBED4
22	49900229	49918438	ALG12
22	49918167	49927540	CRELD2
22	49960768	49964072	PIM3
22	50059391	50085426	MLC1
22	50170731	50180295	PANX2
22	50185913	50199598	TRABD
22	50201011	50217616	SELENOO
22	50217689	50245023	TUBGCP6
22	50245183	50251405	HDAC10
22	50245450	50261716	MAPK12
22	50263713	50270767	MAPK11
22	50274979	50307646	PLXNB2
22	50309030	50327012	DENND6B
22	50343304	50445090	PPP6R2
22	50443219	50483923	SBF1
22	50481543	50486440	ADM2
22	50502949	50507702	LMF2
22	50508224	50524780	NCAPH2
22	50523568	50526461	SCO2
22	50525752	50530032	TYMP
22	50529710	50532506	ODF3B
22	50545899	50551023	KLHDC7B
22	50568861	50578465	CPT1B
22	50578959	50601455	CHKB
22	50600793	50613981	MAPK8IP2
22	50622754	50628173	ARSA
22	50674415	50733212	SHANK3
22	50767501	50783667	RABL2B
